artist,release
Nelly,"Iz U / Pussy[RELEASE]"
Clipse,"Iz U / Pussy[RELEASE]"
"Funky DL","Classic Moves[RELEASE]"
Guile,"Classic Moves[RELEASE]"
J-Five,"Modern Times[RELEASE]"
"Charlie Chaplin","Modern Times[RELEASE]"
"Ras Kass","Can You See What I See? / Hands High / Represent[RELEASE]"
"Pharoahe Monch","Can You See What I See? / Hands High / Represent[RELEASE]"
Hi-Tek,"Can You See What I See? / Hands High / Represent[RELEASE]"
"Dave Ghetto","Can You See What I See? / Hands High / Represent[RELEASE]"
"Basic Vocab","Can You See What I See? / Hands High / Represent[RELEASE]"
"The Prunes","Blow Up Factor Vol.4[RELEASE]"
"Freestyle (4)","Blow Up Factor Vol.4[RELEASE]"
"Public Enemy","Rebirth Of A Nation[RELEASE]"
"Paris (2)","Rebirth Of A Nation[RELEASE]"
"Talib Kweli","I Try[RELEASE]"
"Mary J. Blige","I Try[RELEASE]"
"Gas Chamber","Its Yours / Illusiv[RELEASE]"
"Izm Da Mad Soul","Its Yours / Illusiv[RELEASE]"
"DJ LBR","10 Break Commandments[RELEASE]"
"Big Ali","10 Break Commandments[RELEASE]"
Onra,Tribute[RELEASE]
Quetzal,Tribute[RELEASE]
"Ghislain Poirier",Blazin[RELEASE]
Face-T,Blazin[RELEASE]
Twista,"Mobstability / Crook County (Bone Crusher Mix)[RELEASE]"
"The Speed Knot Mobsters","Mobstability / Crook County (Bone Crusher Mix)[RELEASE]"
A.K.-S.W.I.F.T.,"It's On[RELEASE]"
Mazaya,"It's On[RELEASE]"
Coolio,"Dial A Jam / Four Fly Guys[RELEASE]"
"40 Thevz","Dial A Jam / Four Fly Guys[RELEASE]"
"Hurricane (2)","Dial A Jam / Four Fly Guys[RELEASE]"
"DJ JS-1","Ground Original[RELEASE]"
Dub-L,"Ground Original[RELEASE]"
"50 Cent","Thug Love[RELEASE]"
"Destiny's Child","Thug Love[RELEASE]"
"Mack 10","Nothin' But The Cavi Hit[RELEASE]"
"Tha Dogg Pound","Nothin' But The Cavi Hit[RELEASE]"
"Busta Rhymes","Pass The Courvoisier[RELEASE]"
"P. Diddy","Pass The Courvoisier[RELEASE]"
"Shadow Huntaz","Irreparable Damage[RELEASE]"
Kareem,"Irreparable Damage[RELEASE]"
"Kumi Koda","Hot Stuff[RELEASE]"
KM-MARKIT,"Hot Stuff[RELEASE]"
"Capital D","Writer's Block (The Movie)[RELEASE]"
Molemen,"Writer's Block (The Movie)[RELEASE]"
"Keith Sweat","Get Up On It[RELEASE]"
"Kut Klose","Get Up On It[RELEASE]"
"DJ Vlad","Rock Phenomenon: Hip Hop vs. Rock Mash-Ups[RELEASE]"
"Roc Raida","Rock Phenomenon: Hip Hop vs. Rock Mash-Ups[RELEASE]"
"DJ Green Lantern","Fort Minor: We Major[RELEASE]"
"Fort Minor","Fort Minor: We Major[RELEASE]"
"Birdman (2)","Pop Bottles[RELEASE]"
"Lil Wayne","Pop Bottles[RELEASE]"
"LL Cool J","Ain't Nobody / Pimp'n Ain't Ez[RELEASE]"
"Madd Head","Ain't Nobody / Pimp'n Ain't Ez[RELEASE]"
"Kid Capri",Unify[RELEASE]
"Snoop Dogg",Unify[RELEASE]
"Slick Rick",Unify[RELEASE]
"S-Dub (3)","Never Say Never[RELEASE]"
"Shabaam Sahdeeq","Never Say Never[RELEASE]"
"Surreal (6)","True Indeed[RELEASE]"
"Sound Providers","True Indeed[RELEASE]"
"Slinky Gym School","Crazy Sneaker[RELEASE]"
Rammellzee,"Crazy Sneaker[RELEASE]"
"Charli Baltimore","Philly's Finest[RELEASE]"
"Eve (2)","Philly's Finest[RELEASE]"
"Lethal (4)","Bang Goes Pop[RELEASE]"
"The Y.M.A.s","Bang Goes Pop[RELEASE]"
"Too Short","Independence Day[RELEASE]"
"Keith Murray","Independence Day[RELEASE]"
"Spiritual Warriors","Grüner Tee[RELEASE]"
"Curse (3)","Grüner Tee[RELEASE]"
"Vienna (9)","Amadeus '97[RELEASE]"
"Rod D.","Amadeus '97[RELEASE]"
"Ground Zero (11)","Lettin Ya Know[RELEASE]"
"Bootsy Collins","Lettin Ya Know[RELEASE]"
"Shaquille O'Neal","Men Of Steel[RELEASE]"
"Ice Cube","Men Of Steel[RELEASE]"
B-Real,"Men Of Steel[RELEASE]"
"Peter Gunz","Men Of Steel[RELEASE]"
KRS-One,"Men Of Steel[RELEASE]"
Corey,"Everything But Love[RELEASE]"
"Sadat X","Everything But Love[RELEASE]"
"Negrow League","Spanish Fly[RELEASE]"
"Allure (3)","Spanish Fly[RELEASE]"
"Mello K","Do Me[RELEASE]"
"Shawnie Ranks","Do Me[RELEASE]"
Ice-T,"What Really Goes On[RELEASE]"
"The West Coast Rydaz","What Really Goes On[RELEASE]"
Guru,"Supa Love[RELEASE]"
Kelis,"Supa Love[RELEASE]"
Loveland,"Don't Make Me Wait[RELEASE]"
"Rachel McFarlane","Don't Make Me Wait[RELEASE]"
"Jason Downs","White Boy With A Feather[RELEASE]"
"Milk Dee","White Boy With A Feather[RELEASE]"
"Sista (2)","It's Alright[RELEASE]"
"Craig Mack","It's Alright[RELEASE]"
"Lady Tame","Tame 1 Unleashed / Straight From The Underground[RELEASE]"
"Doc Savage (5)","Tame 1 Unleashed / Straight From The Underground[RELEASE]"
Babyface,"Give U My Heart[RELEASE]"
"Toni Braxton","Give U My Heart[RELEASE]"
P-19,"Mass Confusion[RELEASE]"
"Jerry Flynn","Mass Confusion[RELEASE]"
"Ian Brown","Illegal Attacks[RELEASE]"
"Sinéad O'Connor","Illegal Attacks[RELEASE]"
Common,"Reminding Me (Of Sef)[RELEASE]"
"Chantay Savage","Reminding Me (Of Sef)[RELEASE]"
Rammellzee,"Beat Bop[RELEASE]"
K-Rob,"Beat Bop[RELEASE]"
Globe,"The Main Lord[RELEASE]"
"Marc Panther","The Main Lord[RELEASE]"
Globe,"Throwin' Down In The Double 0[RELEASE]"
"Tetsuya Komuro","Throwin' Down In The Double 0[RELEASE]"
KRS-One,"The Battle For Rap Supremacy[RELEASE]"
"MC Shan","The Battle For Rap Supremacy[RELEASE]"
"Audessey The Sound Sci","The Gusto / Thanks For Coming Out[RELEASE]"
Wordsworth,"The Gusto / Thanks For Coming Out[RELEASE]"
"Rahim (2)",Dynamol[RELEASE]
Straho,Dynamol[RELEASE]
RZA,"Domestic Violence Pt. 2[RELEASE]"
"Bobby Digital","Domestic Violence Pt. 2[RELEASE]"
Waajeed,"BPM Instrumentals[RELEASE]"
"Bling 47","BPM Instrumentals[RELEASE]"
"Refugee Camp All Stars",Avenues[RELEASE]
"Pras Michel",Avenues[RELEASE]
"Rare Earth","Happy Song Or Dance (Remix) / Pleasure Boys (Remix)[RELEASE]"
Visage,"Happy Song Or Dance (Remix) / Pleasure Boys (Remix)[RELEASE]"
"General Levy","Tru Yu Body Good RMX / Whoomp! (There It Is) RMX[RELEASE]"
"Tag Team","Tru Yu Body Good RMX / Whoomp! (There It Is) RMX[RELEASE]"
"Aaron LaCrate","Blow Remix EP[RELEASE]"
"Amanda Blank","Blow Remix EP[RELEASE]"
"Wyclef Jean","Sweetest Girl Dollar Bill[RELEASE]"
Akon,"Sweetest Girl Dollar Bill[RELEASE]"
"Lil Wayne","Sweetest Girl Dollar Bill[RELEASE]"
Niia,"Sweetest Girl Dollar Bill[RELEASE]"
"Chuck Chillout","Gimme Minze ![RELEASE]"
"Kool Chip","Gimme Minze ![RELEASE]"
"Bass Dreams","Bass Dreams[RELEASE]"
"Rapper K. (2)","Bass Dreams[RELEASE]"
EPMD,"Run EPMD[RELEASE]"
Run-DMC,"Run EPMD[RELEASE]"
"DJ Muggs","The Soul Assassins (Chapter 1)[RELEASE]"
"The Soul Assassins","The Soul Assassins (Chapter 1)[RELEASE]"
Finale,Develop[RELEASE]
Spier1200,Develop[RELEASE]
"M.C. Price","My Life Story / The Price Is Right[RELEASE]"
"DJ Trouble","My Life Story / The Price Is Right[RELEASE]"
"Beyoncé","Beautiful Liar[RELEASE]"
Shakira,"Beautiful Liar[RELEASE]"
"Zoe Mazah","Could It Be You[RELEASE]"
"Kymani Marley","Could It Be You[RELEASE]"
"Limp Bizkit","Red Light-Green Light[RELEASE]"
"Snoop Dogg","Red Light-Green Light[RELEASE]"
"Four Sure","Innocent Girl[RELEASE]"
"Father MC","Innocent Girl[RELEASE]"
"Insane Macbeth","True Heart[RELEASE]"
"The Icepick","True Heart[RELEASE]"
"Doctor Dré","Back Up Off Me[RELEASE]"
"Ed Lover","Back Up Off Me[RELEASE]"
"Peter Andre","Mysterious Girl[RELEASE]"
"Bubbler Ranx","Mysterious Girl[RELEASE]"
"Tha Mexakinz","The Wake Up Show[RELEASE]"
Xzibit,"The Wake Up Show[RELEASE]"
Nelly,Dilemma[RELEASE]
"Kelly Rowland",Dilemma[RELEASE]
"The Game (2)","Wouldn't Get Far[RELEASE]"
"Kanye West","Wouldn't Get Far[RELEASE]"
Timbaland,"The Way I Are[RELEASE]"
"Keri Hilson","The Way I Are[RELEASE]"
"Beyoncé","Fighting Temptation[RELEASE]"
"Missy Elliott","Fighting Temptation[RELEASE]"
"MC Lyte","Fighting Temptation[RELEASE]"
"Free (2)","Fighting Temptation[RELEASE]"
"Da Ruckus",High[RELEASE]
Paradime,High[RELEASE]
D12,High[RELEASE]
"Cool C","Hilltop Hustlers[RELEASE]"
"Three Times Dope","Hilltop Hustlers[RELEASE]"
Defisis,"It's Like That[RELEASE]"
"Blade (3)","It's Like That[RELEASE]"
"Rappin' Is Fundamental","Bee Mo Easy Entertainment Presents...[RELEASE]"
"Da Nation","Bee Mo Easy Entertainment Presents...[RELEASE]"
"Soul Survivors (2)","Bee Mo Easy Entertainment Presents...[RELEASE]"
"Ghetto People","In The Ghetto[RELEASE]"
L-Viz,"In The Ghetto[RELEASE]"
"Green Badger","ACBJ Style / Yaw´ll Niggas[RELEASE]"
"ACBJ's","ACBJ Style / Yaw´ll Niggas[RELEASE]"
"DJ Tomekk","Return Of Hip Hop (Ooh, Ooh)[RELEASE]"
KRS-One,"Return Of Hip Hop (Ooh, Ooh)[RELEASE]"
Torch,"Return Of Hip Hop (Ooh, Ooh)[RELEASE]"
"MC Rene","Return Of Hip Hop (Ooh, Ooh)[RELEASE]"
"Snoop Dogg",Vato[RELEASE]
B-Real,Vato[RELEASE]
"DJ Mentat","Rugged Wid' It[RELEASE]"
"Roots Manuva","Rugged Wid' It[RELEASE]"
"Seanie T.","Rugged Wid' It[RELEASE]"
"Messiah (10)","Survival Of The Fetus / Purple Rain[RELEASE]"
Rubbabandz,"Survival Of The Fetus / Purple Rain[RELEASE]"
"Notorious B.I.G.","Come On[RELEASE]"
"Sadat X","Come On[RELEASE]"
"Kelly Rowland","Like This[RELEASE]"
"Eve (2)","Like This[RELEASE]"
"Marz (4)","Push, Push In The Bush[RELEASE]"
Musique,"Push, Push In The Bush[RELEASE]"
"Jurassic 5","Brown Girl[RELEASE]"
"Brick & Lace","Brown Girl[RELEASE]"
Timbaland,Apologize[RELEASE]
OneRepublic,Apologize[RELEASE]
"Eric Singleton","Sexy Girl[RELEASE]"
Shaggy,"Sexy Girl[RELEASE]"
"DJ Diess","Just For Your Hand[RELEASE]"
"Ugly Mac Beer","Just For Your Hand[RELEASE]"
Mistri,"Tell Me[RELEASE]"
"Maceo Parker","Tell Me[RELEASE]"
"Pee Wee Ellis","Tell Me[RELEASE]"
"Haji Akbah","Tell Me[RELEASE]"
"Pete Tong","Essential Selection '98[RELEASE]"
"Paul Oakenfold","Essential Selection '98[RELEASE]"
"C + C Music Factory","Sweat (Everybody Dance Now) The Remix[RELEASE]"
"Freedom Williams","Sweat (Everybody Dance Now) The Remix[RELEASE]"
"RMD Dance","Sweat (Everybody Dance Now) The Remix[RELEASE]"
Zoxea,"La Ruée Vers Le Roro[RELEASE]"
"Busta Flex","La Ruée Vers Le Roro[RELEASE]"
"IV My People","IV My People Volume # 2[RELEASE]"
"Kool Shen","IV My People Volume # 2[RELEASE]"
"Serum (3)","IV My People Volume # 2[RELEASE]"
Zoxea,"IV My People Volume # 2[RELEASE]"
"IV My People","Donne Moi Des Beats Fat[RELEASE]"
"Kool Shen","Donne Moi Des Beats Fat[RELEASE]"
"Busta Flex","Donne Moi Des Beats Fat[RELEASE]"
Zoxea,"Donne Moi Des Beats Fat[RELEASE]"
"Serum (3)","Donne Moi Des Beats Fat[RELEASE]"
"Mark Ronson",Valerie[RELEASE]
"Amy Winehouse",Valerie[RELEASE]
"Rockin' Squat","Dangereuse Liaison[RELEASE]"
Calbo,"Dangereuse Liaison[RELEASE]"
Eccy,"Ultimate High[RELEASE]"
Shing02,"Ultimate High[RELEASE]"
Coolfunk,"Fabulous Day[RELEASE]"
"Redd Angel","Fabulous Day[RELEASE]"
"Naughty By Nature",Holiday[RELEASE]
Phiness,Holiday[RELEASE]
"Ant Banks","Lead The Way[RELEASE]"
T.W.D.Y.,"Lead The Way[RELEASE]"
"Ant Banks","Derty Werk[RELEASE]"
T.W.D.Y.,"Derty Werk[RELEASE]"
"Contre Tiempo",Switched[RELEASE]
"Kele Le Roc",Switched[RELEASE]
"Doctor K.","Doctor K's ""Summer Madness""[RELEASE]"
"Cheekie B","Doctor K's ""Summer Madness""[RELEASE]"
Defari,"Blast / Let Me Hear It[RELEASE]"
Jigmastas,"Blast / Let Me Hear It[RELEASE]"
"MC Eiht","All For The Money[RELEASE]"
CMW,"All For The Money[RELEASE]"
"Jagged Edge (2)","I Got It 2[RELEASE]"
Nas,"I Got It 2[RELEASE]"
Manage,"I Realise / Dope Like Heroin[RELEASE]"
"DJ Blood One","I Realise / Dope Like Heroin[RELEASE]"
Estelle,"Tek It Off[RELEASE]"
"Ce'cile","Tek It Off[RELEASE]"
"Obie Trice","The Set Up (You Don't Know)[RELEASE]"
"Nate Dogg","The Set Up (You Don't Know)[RELEASE]"
"Nikolaj Steen","The New Message[RELEASE]"
"Melle Mel","The New Message[RELEASE]"
"Scorpio (3)","The New Message[RELEASE]"
"Strand (2)","Madrid 2 Los Angeles[RELEASE]"
NonGenetic,"Madrid 2 Los Angeles[RELEASE]"
"19th Street (2)","Bustaz / Rap Killer[RELEASE]"
"Daz Dillinger","Bustaz / Rap Killer[RELEASE]"
"Crooked I","Bustaz / Rap Killer[RELEASE]"
Nelly,"Over And Over[RELEASE]"
"Tim McGraw","Over And Over[RELEASE]"
"Funky DL",Worldwide[RELEASE]
Ty,Worldwide[RELEASE]
"Benjamin Zephaniah","Naked & Mixed Up[RELEASE]"
"Rodney P","Naked & Mixed Up[RELEASE]"
"Style (2)","Who Do You Love?[RELEASE]"
Tariq,"Who Do You Love?[RELEASE]"
Patra,"Romantic Call[RELEASE]"
Yo-Yo,"Romantic Call[RELEASE]"
"Black Eyed Peas","Request Line[RELEASE]"
"Macy Gray","Request Line[RELEASE]"
"Madison Le Bourreau","Engrenage Mortel[RELEASE]"
"Chrysto Le Barbare","Engrenage Mortel[RELEASE]"
"Beet & Bad Lieutenant","Terminate / You Dig (Mason Remix)[RELEASE]"
"Mason (2)","Terminate / You Dig (Mason Remix)[RELEASE]"
"MC Sharpness","Terminate / You Dig (Mason Remix)[RELEASE]"
"Doctor Dré","For The Love Of You[RELEASE]"
"Ed Lover","For The Love Of You[RELEASE]"
Brainpower,"Assassin's Creed - The Chosen[RELEASE]"
Intwine,"Assassin's Creed - The Chosen[RELEASE]"
"Player 1 (4)","Crime Rate Sky-High[RELEASE]"
"Bloody Bones (3)","Crime Rate Sky-High[RELEASE]"
"Kut Masta Kurt","Urban Legends / Let Me Talk To You[RELEASE]"
"Masters Of Illusion","Urban Legends / Let Me Talk To You[RELEASE]"
"Kanye West","Better Than I've Ever Been / Classic[RELEASE]"
Nas,"Better Than I've Ever Been / Classic[RELEASE]"
KRS-One,"Better Than I've Ever Been / Classic[RELEASE]"
Rakim,"Better Than I've Ever Been / Classic[RELEASE]"
"DJ Polo","Suzy Rose[RELEASE]"
Ice-T,"Suzy Rose[RELEASE]"
"Criminal Element Orchestra","Everybody (Rap)[RELEASE]"
"Wendell Williams","Everybody (Rap)[RELEASE]"
Yila,Astronaut[RELEASE]
"Scroobius Pip",Astronaut[RELEASE]
"Bad Luck Thirteen Riot Extravaganza","Sex And Violence[RELEASE]"
Blowfly,"Sex And Violence[RELEASE]"
"La Relève","Retour Aux Sources[RELEASE]"
"The Roots","Retour Aux Sources[RELEASE]"
Troo.L.S.,"Forklædt Som Voksen[RELEASE]"
Orgi-E,"Forklædt Som Voksen[RELEASE]"
Telesis,"Volume 1 / Volume 1½[RELEASE]"
Brickhard,"Volume 1 / Volume 1½[RELEASE]"
"The Mechanik And Friends","Volume 1 / Volume 1½[RELEASE]"
"DJ Mahmut","Garip Dünya[RELEASE]"
"Murat G.","Garip Dünya[RELEASE]"
"Jayla Jewel","I Like What U Do To Me[RELEASE]"
"Grand Puba","I Like What U Do To Me[RELEASE]"
AZ,"Rap Fanatic / Yonkers Shout Out[RELEASE]"
"Stagga Lee","Rap Fanatic / Yonkers Shout Out[RELEASE]"
Frighty,"Life (Is What You Make It)[RELEASE]"
"Colonel Mite","Life (Is What You Make It)[RELEASE]"
"Dr. Luv (2)","I Ain't Goin' Out Like That[RELEASE]"
Kev-Ski,"I Ain't Goin' Out Like That[RELEASE]"
"Shaham Joyce",Bodyrock[RELEASE]
"Brandon Perkins",Bodyrock[RELEASE]
"Dave Cloud","Puff Rider[RELEASE]"
"Various Production","Puff Rider[RELEASE]"
Multicyde,"Catch Us[RELEASE]"
"Morten Abel","Catch Us[RELEASE]"
"H Bomb","Playaz Need No Love[RELEASE]"
"Roger Troutman","Playaz Need No Love[RELEASE]"
"Miles Gordon","Playaz Need No Love[RELEASE]"
Mayhemystics,Outbreaks[RELEASE]
"Variable Unit",Outbreaks[RELEASE]
"Nick Cannon","Feelin' Freaky[RELEASE]"
B2K,"Feelin' Freaky[RELEASE]"
"Renard With No Regard","Going For Gold[RELEASE]"
"Ced What?","Going For Gold[RELEASE]"
"Unity Committee","Unified Rebelution[RELEASE]"
"Rebels Of Rhythm (2)","Unified Rebelution[RELEASE]"
"The Blow Monkeys","La Passionara[RELEASE]"
Quan-T,"La Passionara[RELEASE]"
Bezerk,"La Passionara[RELEASE]"
"Kam (2)","New Message / Ill Hip Hop[RELEASE]"
J.U.I.C.E.,"New Message / Ill Hip Hop[RELEASE]"
"Chino XL","Last Laugh[RELEASE]"
B-Real,"Last Laugh[RELEASE]"
Rihanna,"Hate That I Love You[RELEASE]"
Ne-Yo,"Hate That I Love You[RELEASE]"
"LG (2)","Smoke Rings[RELEASE]"
"Biscuit (4)","Smoke Rings[RELEASE]"
"Sagopa Kajmer","İkimizi Anlatan Birşey...[RELEASE]"
Kolera,"İkimizi Anlatan Birşey...[RELEASE]"
"DJ Marius No. 1","Stage Tools Vol. 1[RELEASE]"
"DJ Mirko Machine","Stage Tools Vol. 1[RELEASE]"
"Soho Party","Remix Album[RELEASE]"
"Betty Love","Remix Album[RELEASE]"
"N' Time","What's Going On[RELEASE]"
"Larry 'n' Mike","What's Going On[RELEASE]"
"Lloyd Banks","Mo' Money In The Bank[RELEASE]"
"DJ Whoo Kid","Mo' Money In The Bank[RELEASE]"
"Mack 10","Like This[RELEASE]"
"Nate Dogg","Like This[RELEASE]"
"Diana Ross","No Matter What  You Do[RELEASE]"
"Al B. Sure!","No Matter What  You Do[RELEASE]"
Qwel,"Twentieth Street Rich[RELEASE]"
"Jackson Jones","Twentieth Street Rich[RELEASE]"
7L,"Welcome To Shaftville U.S.A. - Vinyl Thug Music[RELEASE]"
"Beyonder (2)","Welcome To Shaftville U.S.A. - Vinyl Thug Music[RELEASE]"
"Top Cat","Gallist / Party All Night[RELEASE]"
P!nk,"Gallist / Party All Night[RELEASE]"
"Weedy (2)",Guet-Apens[RELEASE]
"Le T.I.N.",Guet-Apens[RELEASE]
Eskwad,Guet-Apens[RELEASE]
"Expression Direkt",Guet-Apens[RELEASE]
"Pappa Bear","Honey Luv[RELEASE]"
"Jan van der Toorn","Honey Luv[RELEASE]"
"Mister Schnabel","Chain Gang Slang[RELEASE]"
"Illo 77","Chain Gang Slang[RELEASE]"
"Phantom Black","Chain Gang Slang[RELEASE]"
"DJ SupaDaev","The Beef Patty Anthem[RELEASE]"
"DJ Steve Stylus","The Beef Patty Anthem[RELEASE]"
"Mac Dre","Tales Of II Andre's[RELEASE]"
"Andre Nickatina","Tales Of II Andre's[RELEASE]"
"Afrika Bambaataa & The Jazzy 5","Jazzy Sensation b/w Lessons 1-3[RELEASE]"
"Double Dee & Steinski","Jazzy Sensation b/w Lessons 1-3[RELEASE]"
"Lukie D","Don't Deny Me[RELEASE]"
"Lieutenant Stitchie","Don't Deny Me[RELEASE]"
"The Brand New Heavies","I Don't Know Why (I Love You) (Remixes)[RELEASE]"
"N'Dea Davenport","I Don't Know Why (I Love You) (Remixes)[RELEASE]"
Martiangang,"Got Skills Galore (groovemanspot Remix)[RELEASE]"
"Insight (2)","Got Skills Galore (groovemanspot Remix)[RELEASE]"
Dagha,"Got Skills Galore (groovemanspot Remix)[RELEASE]"
"Curse (3)","Widerstand +4[RELEASE]"
Gentleman,"Widerstand +4[RELEASE]"
Onar,"Wszystko Co Mogę Mieć[RELEASE]"
O$ka,"Wszystko Co Mogę Mieć[RELEASE]"
Jogi,"Vilken Väg[RELEASE]"
"Million Stylez","Vilken Väg[RELEASE]"
"Italo Reno & Germany","Bitch! (Wo Ist Mein Geld?)[RELEASE]"
"Kool Savas","Bitch! (Wo Ist Mein Geld?)[RELEASE]"
Superslim,"Give The People What They Want[RELEASE]"
"DJ Candyman","Give The People What They Want[RELEASE]"
"Cassius Henry","The One[RELEASE]"
Freeway,"The One[RELEASE]"
2Pac,"The Here After[RELEASE]"
"Notorious B.I.G.","The Here After[RELEASE]"
Run-DMC,"Christmas In Hollis / Let The Jingle Bells Rock[RELEASE]"
"Sweet Tee","Christmas In Hollis / Let The Jingle Bells Rock[RELEASE]"
E-40,"Rappers' Ball[RELEASE]"
"Too Short","Rappers' Ball[RELEASE]"
K-Ci,"Rappers' Ball[RELEASE]"
"DJ Khéops","Mama Lova[RELEASE]"
"Oxmo Puccino","Mama Lova[RELEASE]"
"Rishi Rich","Push Ít Up (Aaja Kuriek)[RELEASE]"
"Jay Sean","Push Ít Up (Aaja Kuriek)[RELEASE]"
"Juggy D","Push Ít Up (Aaja Kuriek)[RELEASE]"
Tamrock,"Listen Closely (Bozack)[RELEASE]"
E.Q.,"Listen Closely (Bozack)[RELEASE]"
Qwel,"The Harvest[RELEASE]"
Maker,"The Harvest[RELEASE]"
"Cut Killer","Mixtape 19361 Part 2 - Le Combat Sans Fin[RELEASE]"
IAM,"Mixtape 19361 Part 2 - Le Combat Sans Fin[RELEASE]"
"Cut Killer","Mixtape N°11[RELEASE]"
"La Cliqua","Mixtape N°11[RELEASE]"
Nicolay,Time:Line[RELEASE]
"Kay (3)",Time:Line[RELEASE]
"Karl Wolf",Africa[RELEASE]
"Culture (3)",Africa[RELEASE]
3:Ess,"Ja Ja Ja... (Tjålar Beats Version) / GBG (Hela Jävla GBG...)[RELEASE]"
"DJ Shorty (3)","Ja Ja Ja... (Tjålar Beats Version) / GBG (Hela Jävla GBG...)[RELEASE]"
"Uk Apachi",His-Story[RELEASE]
"DJ Phantasy",His-Story[RELEASE]
"Mad Professor",His-Story[RELEASE]
"Marley Marl","Check The Mirror / At The Drop Of A Dime[RELEASE]"
Portia,"Check The Mirror / At The Drop Of A Dime[RELEASE]"
"Cut Killer","Mixtape N°17[RELEASE]"
"Menage A Trois (2)","Mixtape N°17[RELEASE]"
"Cut Killer","Mixtape N°13[RELEASE]"
"Lunatic (7)","Mixtape N°13[RELEASE]"
"Prince Vince","Gangster Funk[RELEASE]"
"The Hip Hop Force","Gangster Funk[RELEASE]"
"Erick Sermon","Music / Stick 'Em[RELEASE]"
"Marvin Gaye","Music / Stick 'Em[RELEASE]"
"Cha Cha","Music / Stick 'Em[RELEASE]"
"The L.I. Force","I Want A Stunt / Dedication To Hip Hop[RELEASE]"
"M.C. Snow","I Want A Stunt / Dedication To Hip Hop[RELEASE]"
"DJ Wiz (2)","I Want A Stunt / Dedication To Hip Hop[RELEASE]"
"Young MC","Aaron LaCrate & Debonair Samir RMXS[RELEASE]"
"Masta Ace Incorporated","Aaron LaCrate & Debonair Samir RMXS[RELEASE]"
NuComers,"Take A Ride[RELEASE]"
K.S.T.,"Take A Ride[RELEASE]"
Tohoshinki,"Close To You / Crazy Life[RELEASE]"
Yunho,"Close To You / Crazy Life[RELEASE]"
M.S.I.,"Msylum Thing[RELEASE]"
"Asylum (5)","Msylum Thing[RELEASE]"
"DJ Kost","Double Face[RELEASE]"
"DJ Goldfingers","Double Face[RELEASE]"
"David Fascher","Jingo's Theme[RELEASE]"
"Mr. Freeman","Jingo's Theme[RELEASE]"
"Lincoln (4)","Jingo's Theme[RELEASE]"
"The Gaslamp Killer","I Spit On Your Grave[RELEASE]"
Kutmah,"I Spit On Your Grave[RELEASE]"
Profet,"Arte Et Marte[RELEASE]"
"Professor P","Arte Et Marte[RELEASE]"
"Shaquille O'Neal","The Way It's Goin' Down (Twism For Life)[RELEASE]"
"Peter Gunz","The Way It's Goin' Down (Twism For Life)[RELEASE]"
"The Principle","The Damned EP[RELEASE]"
"Silent Eclipse","The Damned EP[RELEASE]"
"Dat Nigga Daz","The Last Of Tha Pound[RELEASE]"
"Tha Dogg Pound","The Last Of Tha Pound[RELEASE]"
"Blue Sky Black Death","Razah's Ladder[RELEASE]"
"Hell Razah","Razah's Ladder[RELEASE]"
"Daz Dillinger","Long Beach 2 Fillmoe[RELEASE]"
"JT The Bigga Figga","Long Beach 2 Fillmoe[RELEASE]"
"Snazz D","Dangerous! Mix-CD[RELEASE]"
"The Ca$hless Family","Dangerous! Mix-CD[RELEASE]"
Naudy,"Party Naughty[RELEASE]"
"Horace Brown","Party Naughty[RELEASE]"
"Kane & Abel","Time After Time[RELEASE]"
"Master P","Time After Time[RELEASE]"
"Le Peuple De L'Herbe","Mr. Nice[RELEASE]"
JC-001,"Mr. Nice[RELEASE]"
"Kulcha Don","Bellevue ""Da Bomb""[RELEASE]"
Fugees,"Bellevue ""Da Bomb""[RELEASE]"
"Bomfunk MC's","Turn It Up[RELEASE]"
"Anna Nordell","Turn It Up[RELEASE]"
"The Third Degree","Bass It Baby[RELEASE]"
DXJ,"Bass It Baby[RELEASE]"
Magiera,"Oddycham Smogiem[RELEASE]"
Tymon,"Oddycham Smogiem[RELEASE]"
"Mały72","Oddycham Smogiem[RELEASE]"
Blacknuss,"Seventh Heaven[RELEASE]"
Titiyo,"Seventh Heaven[RELEASE]"
"Ancient Mith","Sampler Platter / Lincoln Continental[RELEASE]"
"Otem Rellik","Sampler Platter / Lincoln Continental[RELEASE]"
Demune,"Sampler Platter / Lincoln Continental[RELEASE]"
"Tullie The Rapper","Sampler Platter / Lincoln Continental[RELEASE]"
"DJ Tomekk","Jump, Jump (DJ Tomekk Kommt)[RELEASE]"
Fler,"Jump, Jump (DJ Tomekk Kommt)[RELEASE]"
G-Hot,"Jump, Jump (DJ Tomekk Kommt)[RELEASE]"
"Karst (3)",Untitled[RELEASE]
"Abstral Compost",Untitled[RELEASE]
Plattenpapzt,"Für Die Strassen / Schlagzeilen[RELEASE]"
"Die Firma","Für Die Strassen / Schlagzeilen[RELEASE]"
"ABS (2)","Für Die Strassen / Schlagzeilen[RELEASE]"
"Loose Bruce","She's A Brickhouse (Give It Up)[RELEASE]"
"A.R.C. Moe Rock","She's A Brickhouse (Give It Up)[RELEASE]"
"DJ Envy","The Co-Op[RELEASE]"
"Red Cafe","The Co-Op[RELEASE]"
"MC Spontan","SP 2001[RELEASE]"
